layer,index,singular_value
2,21,461.4365124721165
2,22,448.79632377939384
2,23,432.5906034047859
2,24,420.08275123608655
2,25,388.541534443634
2,26,382.5857692506584
2,27,374.1087087365324
2,28,364.54343659548107
2,29,361.23273530650397
2,30,356.8330800523041
2,31,343.358423633433
2,32,331.85571367887445
2,33,323.7211517399841
2,34,322.3091669215215
2,35,316.12237068592236
2,36,309.2559157078031
2,37,299.98670664717775
2,38,295.96133762472584
2,39,289.4798710231165
2,40,288.23235070730135
2,41,286.53166872456376
2,42,279.24842580433057
2,43,276.0763300029422
2,44,271.72512053719834
2,45,266.8175490207974
2,46,260.37117750897335
2,47,259.6988366339229
2,48,253.8661790646304
2,49,247.53110186649806
2,50,245.2615204916059
2,51,244.41856269380432
2,52,239.3229607279812
2,53,235.28835228140485
2,54,233.68024686651177
2,55,232.01295381115634
2,56,228.16357099888808
2,57,222.51818839001479
2,58,220.8252019260837
2,59,216.3326551688637
2,60,213.3136142585351
2,61,211.36487420565828
2,62,209.2965634680826
2,63,208.60573425620524
2,64,205.0583825441436
2,65,200.32295875178792
2,66,199.74258788551174
2,67,196.72093784525129
2,68,195.23430023062141
2,69,193.20392740322617
2,70,190.7960560672764
2,71,190.58259715297248
2,72,188.03311187508706
2,73,186.58215403192762
2,74,184.20697901739942
2,75,181.10583456072843
2,76,180.1124425349066
2,77,176.14205038687507
2,78,175.97779827979645
2,79,173.1843194275909
2,80,172.53861995087865
2,81,171.36200707918601
2,82,169.57137671057927
2,83,168.30154764112748
2,84,166.20431984519303
2,85,166.04125600881068
2,86,164.69484721841772
2,87,163.20676917341882
2,88,161.27872236348298
2,89,160.7323822104693
2,90,159.9506005803361
2,91,156.7661926922332
2,92,154.68864468470835
2,93,152.9587660167565
2,94,152.5564713101241
2,95,150.80918068304538
2,96,149.99183608182688
2,97,149.75538445995662
2,98,147.3183521641454
2,99,145.3355935128239
2,100,143.0106046521248
2,101,142.27233860531265
2,102,141.56038195606948
2,103,139.56975327424763
2,104,138.88227834312903
2,105,136.98509514288057
2,106,135.3875011327716
2,107,134.81290901528723
2,108,133.57864055205755
2,109,130.86221284125813
2,110,129.93571239384605
2,111,128.49122353452455
2,112,127.81452488986768
2,113,125.89067824028108
2,114,125.28795273309836
2,115,122.38139336923456
2,116,118.89114495058676
2,117,117.80183481839526
2,118,115.97474540160893
2,119,114.45471110524052
2,120,110.97770218962168
2,121,107.94944537822238
2,122,98.38907561169417
2,123,93.94867360413159
2,124,90.50736003897113
2,125,82.09166100239263
2,126,80.49731628807072
2,127,68.39469354174676
2,128,48.16968115217388
3,1,4224.181406219779
3,2,1181.6227381482552
3,3,1001.2436574248277
3,4,906.2120555533916
3,5,821.3225805201349
3,6,800.4177997315693
3,7,746.1392530140128
3,8,667.6930203641288
3,9,649.6686155638465
3,10,645.0810678127615
3,11,621.8310845822667
3,12,577.8847382107139
3,13,545.286219901926
3,14,518.2556050371019
3,15,495.4513381705461
3,16,495.2223496637657
3,17,466.7375768133124
3,18,449.7032484141984
3,19,433.6724291371665
3,20,425.6914661328393
3,21,411.9398565304016
3,22,399.8611064304831
3,23,392.21512025222034
3,24,378.23717420310453
3,25,353.8266084332547
3,26,344.5156233143177
3,27,328.8196429878928
3,28,324.90589034672917
3,29,318.9864184413238
3,30,313.808537243151
3,31,308.73836414527807
3,32,299.6878894004954
3,33,289.33473873297595
3,34,286.8880371400751
3,35,280.5191215890847
3,36,275.7954676898506
3,37,266.9211975881912
3,38,258.98497097486415
3,39,257.36604305762535
3,40,249.42805657804755
3,41,246.03284964891776
3,42,243.6727271092554
3,43,241.0459597715756
3,44,238.49275555714487
3,45,230.1719246245592
3,46,226.59953927466418
3,47,221.68047958529968
3,48,219.98778820139995
3,49,215.88241595666173
3,50,211.619653644035
3,51,209.4622227391356
3,52,204.88025106863964
3,53,203.86920931933463
3,54,201.68018580852885
3,55,197.1518227768212
