layer,index,singular_value
3,126,10.628406136582088
3,127,9.268251242756573
3,128,2.0102155504742316
4,1,834.6335375786384
4,2,159.33867303254692
4,3,149.23593425852107
4,4,142.8360196683846
4,5,138.6536864821209
4,6,126.90431727094227
4,7,124.3853953367587
4,8,117.61025164145258
4,9,110.50426287678049
4,10,107.85836064552527
4,11,99.32762268753703
4,12,92.5252190132575
4,13,90.67068114637254
4,14,88.35830515521661
4,15,84.82969168793846
4,16,81.46671914759973
4,17,79.04039163819581
4,18,76.97273582667881
4,19,73.80539763075178
4,20,71.65470457941382
4,21,69.94822228901205
4,22,67.9694898481525
4,23,64.67991335925288
4,24,63.381897071153986
4,25,61.15634366890377
4,26,60.42907231539453
4,27,58.331582712214136
4,28,54.619265072321056
4,29,53.501865573376634
4,30,52.25902928761519
4,31,50.24061418668468
4,32,49.351133243469924
4,33,48.80483646723755
4,34,47.73501390927935
4,35,45.41486343876776
4,36,44.32625855115165
4,37,43.075712433002124
4,38,41.54750711128161
4,39,41.4561561200478
4,40,40.55291209387656
4,41,39.76159577046154
4,42,39.61487842230757
4,43,39.10481277637812
4,44,38.04365077647394
4,45,36.965930260712625
4,46,36.72418382014268
4,47,36.17189440733591
4,48,34.94580497841299
4,49,34.06596748040572
4,50,32.825140651648745
4,51,32.30981976118056
4,52,31.956870778221653
4,53,31.37724059045842
4,54,30.924525939406614
4,55,30.8040358328307
4,56,30.406791114398235
4,57,30.22909829130472
4,58,29.37691523943924
4,59,29.320605916804574
4,60,28.903837686735336
4,61,28.32454157550011
4,62,27.939648774058302
4,63,27.615607490877824
4,64,26.587852619000426
4,65,26.278881735198535
4,66,25.883687579092022
4,67,25.819403074593566
4,68,25.706322208246156
4,69,25.514739490476217
4,70,25.37867756835549
4,71,25.120078564046334
4,72,24.75286396800022
4,73,24.334803263931477
4,74,24.221223377571405
4,75,23.705347422435793
4,76,23.134938378666437
4,77,23.020908860944267
4,78,22.65254585442994
4,79,22.52762276165039
4,80,22.188597026144244
4,81,22.117425682754998
4,82,22.02143920878802
4,83,21.481356051953245
4,84,21.303295661634497
4,85,21.240775113683657
4,86,20.840620070378723
4,87,20.565736320731347
4,88,20.4759371237445
4,89,20.211407894950167
4,90,19.872036236356657
4,91,19.616782529154268
4,92,19.250410807541233
4,93,19.042044460146784
4,94,18.70633364602303
4,95,18.311916419556187
4,96,18.238360642176897
4,97,17.836438576340452
4,98,17.646189840985055
4,99,16.92518485705577
4,100,16.671896694786128
4,101,16.465292434260245
4,102,16.195621690116905
4,103,15.824289967258863
4,104,15.663734418960544
4,105,15.105343593269392
4,106,14.901358175425774
4,107,13.847090923067256
4,108,13.345997755640926
4,109,13.319164593325857
4,110,13.135647212209365
4,111,12.866747047165253
4,112,12.106651850696492
4,113,11.538429055787034
4,114,11.22138268353537
4,115,11.034042727631396
4,116,10.624363758050686
4,117,10.4729052552648
4,118,9.030423031228525
4,119,7.888217965158112
4,120,7.344273325479606
4,121,7.271965553478705
4,122,5.0397617212707315
4,123,3.6702235582565366
4,124,3.5422760981299963
4,125,2.901621360277796
4,126,2.430850006241888
4,127,1.162349044043187
4,128,0.6319233625889634
5,1,815.9421810441042
5,2,164.37627427387716
5,3,154.40752262262222
5,4,136.2329472638937
5,5,126.8101962919059
5,6,121.63227343177472
5,7,111.2442508502452
5,8,109.43817861316617
5,9,105.60724277793277
5,10,98.19668551276646
5,11,90.25521125579044
5,12,86.53978321845901
5,13,82.23501655911838
5,14,77.43921598715404
5,15,75.80388327192307
5,16,74.90090908731895
5,17,71.280530712284
5,18,69.65206560661503
5,19,65.69653464346342
5,20,62.748893438181696
5,21,60.47094684321942
5,22,58.93041391123683
5,23,56.57680914953376
5,24,55.59488292888353
5,25,53.43923205644942
5,26,51.863359323731956
5,27,51.05038790923353
5,28,47.97703066097446
5,29,47.48677730211031
5,30,46.03481197287678
5,31,43.469789345581496
5,32,42.574024657062154
5,33,41.70340114577394
5,34,40.37010027968621
5,35,40.021171575046175
5,36,38.770570490263474
5,37,37.80374457334552
5,38,35.975344839146494
5,39,35.755269189629246
5,40,34.29592581527644
5,41,33.84111725757379
5,42,33.521341633523534
5,43,32.86505509682142
5,44,32.77092352573437
5,45,31.404918570565354
5,46,31.06797685835331
5,47,30.537459879674785
5,48,29.810088216516142
5,49,29.523514304936064
5,50,29.270838257490745
5,51,28.472337531345087
5,52,28.42378093429109
5,53,27.603301920007034
5,54,27.223900447545727
5,55,26.397843885056684
5,56,26.0836590842315
5,57,25.84224590504208
5,58,25.59310170664695
5,59,25.358401007728926
5,60,24.650581151613338
5,61,24.351949434652997
5,62,24.235882023694007
5,63,23.76642119379429
5,64,23.595019359190378
5,65,23.042270273713896
5,66,22.55876902265085
5,67,22.169917946755568
5,68,21.946037734439727
5,69,21.917329211966283
5,70,21.2069802433994
5,71,21.036324632866258
5,72,20.875307959361034
5,73,20.648664014230498
5,74,20.44408047231942
5,75,20.377738263434534
5,76,20.151564004226202
5,77,19.902197378497807
5,78,19.546229965089058
5,79,19.38392778493344
5,80,19.35369495098117
5,81,18.977311637831622
5,82,18.41889569319857
5,83,18.282790035570148
5,84,18.18117439709086
5,85,17.928240182505885
5,86,17.60584557671242
5,87,17.253511684568778
5,88,17.096293348846984
5,89,16.697410822572717
5,90,16.567456571046403
5,91,16.295490293206313
5,92,16.11586224047048
5,93,15.79442259995554
5,94,15.59115775800657
5,95,15.419411367481812
5,96,15.301166316733147
5,97,15.050296724890122
5,98,14.682282233854819
5,99,14.119215304042422
5,100,14.004052928069134
5,101,13.713865714814185
5,102,13.51639788709906
5,103,13.235693974770014
5,104,12.62783817863613
5,105,11.9747452932412
5,106,11.796163713574739
5,107,11.540611070667818
5,108,11.165052361120951
5,109,11.015593829784773
5,110,10.648075043464038
5,111,8.870257598994542
5,112,8.011551566089143
5,113,7.777682414526949
5,114,6.985321748181575
5,115,6.033029990009142
5,116,5.310649508582588
5,117,5.108115561707838
5,118,5.026736373865033
5,119,4.930837709389567
5,120,4.649642722561553
5,121,3.8795590785403506
5,122,3.5847651618045635
5,123,2.606875329281106
5,124,2.2846173077660197
5,125,0.8912882097562078
5,126,0.5524822427982459
5,127,0.1758929167749943
5,128,0.0
6,1,892.2369882035982
6,2,163.27038657733223
6,3,151.53051634045897
6,4,139.85245405636348
6,5,130.31538904504103
6,6,118.76854801854171
6,7,111.3676443501003
6,8,107.68285225451466
6,9,91.76569283924387
6,10,85.61036126227188
6,11,81.45590082884924
6,12,79.21970586772605
6,13,75.60622793154378
6,14,71.12209614317703
6,15,69.04666172881288
6,16,65.07663323229666
6,17,62.611893755247074
6,18,59.361799180682
6,19,58.77322774818331
6,20,57.18873471221993
6,21,54.38141117325544
6,22,52.93731169214194
6,23,52.36121047925128
6,24,49.22137345837029
6,25,48.73759938336813
6,26,46.81137995063164
6,27,46.43602739239946
6,28,45.311966485908556
6,29,42.786763182579804
6,30,40.660676609730245
6,31,39.36651862033894
6,32,36.92166759773687
6,33,36.17634891612806
6,34,35.60482523998587
6,35,34.82822461949309
6,36,34.50272652148941
6,37,34.01531822512713
6,38,32.661333366543346
6,39,31.869764375161676
6,40,30.939530310796187
6,41,29.769021169497297
6,42,29.5160716257416
6,43,28.927933146421793
6,44,27.825849273072212
6,45,27.30858537218604
6,46,27.238130158712217
6,47,26.68584773099325
6,48,26.426244374971997
6,49,25.77726073304141
6,50,25.199115301436418
6,51,25.087079728141532
6,52,24.31204058709675
6,53,23.802062747508558
6,54,23.643733183472893
6,55,23.212714509529793
6,56,22.966328079810534
6,57,22.636029535328504
6,58,22.304211557023486
6,59,22.086724950811274
6,60,21.653593266467148
6,61,20.847546969139017
6,62,20.582229725730574
6,63,20.27860188436736
6,64,20.11543074965941
6,65,19.871230572270164
6,66,19.533477574357416
6,67,19.353520970307915
6,68,19.27165657555611
6,69,18.703425936876233
6,70,18.483263358206692
6,71,18.36074831827724
6,72,18.05050179645515
6,73,17.914209784024195
6,74,17.619631380685632
6,75,17.349511173651614
6,76,16.997286969721518
6,77,16.843036022458676
6,78,16.56184117875244
6,79,16.208582931353668
6,80,16.15510071284321
6,81,15.901816010368714
6,82,15.578570126038448
6,83,15.501904845023013
6,84,15.196716329444063
6,85,14.998240292309767
6,86,14.602187043977409
6,87,14.503535756606489
6,88,14.20851118517218
6,89,13.750249689657823
6,90,13.563780360518757
6,91,13.464934853635665
6,92,13.26311543663158
6,93,13.149457619570072
6,94,12.901780793923388
6,95,12.438304535555842
6,96,12.25496505546214
6,97,12.187418621454636
6,98,12.067386361043306
6,99,11.759404492906341
6,100,10.932906218495836
6,101,10.081062045736271
6,102,9.906301886125174
6,103,9.59544057327395
6,104,9.520969739408965
6,105,9.014011218256938
6,106,8.759427836280723
6,107,8.526580941944967
6,108,7.475776969092827
6,109,6.8646056155272115
6,110,6.203793377832086
6,111,6.047924334420528
6,112,5.7979253328421665
6,113,5.587257277157832
6,114,4.772799914374259
6,115,4.6836440313656995
6,116,4.5891135054940255
6,117,3.951163671831248
6,118,3.8276072511607144
6,119,3.735085309937917
6,120,3.3497530127529083
6,121,2.1997610447659364
6,122,1.7325802677442166
6,123,1.3426694334801004
6,124,0.9491832039365676
6,125,0.5076519615699879
6,126,0.1276988644299931
6,127,0.0
6,128,0.0
7,1,963.4894087428468
7,2,164.91705833374277
7,3,132.61706167624078
7,4,127.1906404690366
7,5,118.86285410913896
7,6,114.34007747755822
7,7,106.92938710796484
7,8,99.15922593422326
7,9,91.61018858572471
7,10,83.31962906279247
7,11,80.13275729015163
7,12,70.70678083391037
7,13,70.11892980824817
7,14,67.00797943851897
7,15,64.97370721088832
7,16,61.40175308488334
7,17,57.62442515457849
7,18,56.36431826494014
7,19,54.90738879735984
7,20,51.09162076576707
7,21,50.20838574053949
7,22,48.54267757438894
7,23,47.9922487855708
7,24,44.818752590527076
7,25,43.067176100229354
7,26,41.23735884997706
7,27,39.96559449777402
7,28,37.99399066137909
7,29,37.335514919360676
7,30,36.22062754136417
7,31,34.85886956816524
7,32,33.82374468310573
7,33,33.400280047127346
7,34,32.24599182778852
7,35,31.65293259366896
7,36,30.066708108323244
7,37,29.11115050345892
7,38,29.0009327222214
7,39,28.002812080090965
7,40,27.344724952635875
7,41,26.770550756979617
7,42,26.22447684962058
7,43,25.885818364790712
7,44,25.183520102326124
7,45,24.851010756925625
7,46,24.587228152634808
7,47,23.987954809057985
7,48,23.530397761733834
7,49,23.39864603774386
7,50,23.157082141936186
7,51,22.964102540380505
7,52,22.223679982256854
7,53,21.45312248969085
7,54,21.069549655361843
7,55,20.805084456990816
7,56,20.608543078428806
7,57,20.246330508329905
7,58,19.675642961337733
7,59,19.20537877211802
7,60,19.127441548354128
7,61,18.933704423160844
7,62,18.655782627505438
7,63,18.299356781791186
7,64,18.000145818790806
7,65,17.819121453539008
7,66,17.473083979367875
7,67,17.15494843192679
7,68,16.97469430295956
7,69,16.638968290391656
7,70,16.375448150571604
7,71,16.0838092896455
7,72,15.82070423039515
7,73,15.598673998681049
7,74,15.340536844880242
7,75,15.20851952406482
7,76,15.126188568845537
7,77,14.78252361062117
7,78,14.65959998910579
7,79,14.335613312871962
7,80,14.213972572519546
7,81,14.01407638364804
7,82,13.757929492844958
7,83,13.314089803338558
7,84,13.11542988318073
7,85,13.024956543079336
7,86,12.66065876902777
7,87,12.426492248354663
7,88,12.214491398451539
7,89,12.086781302091799
7,90,11.805014846463582
7,91,11.625681708030527
7,92,11.5244674305295
7,93,11.201927317789046
7,94,11.042104383337563
7,95,10.855603019549312
7,96,10.637205363635358
7,97,10.42511815863087
7,98,10.077543213412651
7,99,9.926856789172462
7,100,9.608504052996805
7,101,9.2194208303412
7,102,8.427869007308457
7,103,8.169639233796307
7,104,7.969702843090281
7,105,7.0864714621742
7,106,6.755614308410852
7,107,6.614636462013492
7,108,5.637760363327904
7,109,5.160128804574962
7,110,4.337596076059268
7,111,3.6994880206107847
7,112,3.494684307778136
7,113,3.265106628261422
7,114,3.0671218778439524
7,115,3.01726212795193
7,116,2.683669487240177
7,117,2.578578189722302
7,118,2.1323453150833394
7,119,1.9354421652451426
